,dataset_name,model,fold_n,best_params,accuracy,tpr,fpr,precision,auc-roc,auc-pr,fit_time_second,1000_predict_time_seconds
52,analcatdata_broadwaymult.csv,baseline,2,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 60, 'bootstrap': False}",0.48148148148148145,0.6098191214470284,0.25897215044501865,0.5340136054421769,0.8128908128908128,0.722282556273198,3.38700008392334,0.41299962997436523
53,analcatdata_broadwaymult.csv,baseline,3,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 80, 'bootstrap': True}",0.48148148148148145,0.5925925925925926,0.20829376384931939,0.28947368421052627,0.8374819624819624,0.7825606284554785,1.9650015830993652,0.2089996337890625
54,analcatdata_broadwaymult.csv,baseline,4,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",0.4074074074074074,0.6033138401559455,0.27582846003898637,0.20634920634920634,0.7149170274170273,0.8122630622496934,2.399003267288208,0.25696492195129395
55,analcatdata_broadwaymult.csv,baseline,5,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",0.5185185185185185,0.5974658869395711,0.2082521117608837,0.29251700680272114,0.8276815776815777,0.855855378281849,0.395005464553833,0.04399895668029785
56,analcatdata_broadwaymult.csv,baseline,6,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",0.5925925925925926,0.655349794238683,0.3000685871056242,0.49999999999999994,0.7602212602212601,0.9158329243855561,0.9659993648529053,0.1249542236328125
57,analcatdata_broadwaymult.csv,baseline,7,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 60, 'bootstrap': False}",0.5384615384615384,0.6802197802197801,0.36172161172161166,0.3783882783882784,0.723063973063973,0.7069146725229614,3.368039608001709,0.4329652786254883
58,analcatdata_broadwaymult.csv,baseline,8,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",0.38461538461538464,0.5929487179487178,0.24715099715099717,0.13909774436090225,0.7686507936507936,0.8102065770486823,0.384000301361084,0.04300045967102051
59,analcatdata_broadwaymult.csv,baseline,9,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",0.5,0.6527149321266968,0.30618401206636503,0.32900432900432897,0.7644179894179894,0.8347037129537129,0.3939664363861084,0.04299759864807129
60,analcatdata_germangss.csv,baseline,0,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",0.325,0.5023437500000001,0.42838541666666663,0.2840909090909091,0.5683333333333334,0.7510454773536545,1.0379996299743652,0.12395715713500977
61,analcatdata_germangss.csv,baseline,1,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",0.275,0.5567460317460318,0.40171957671957675,0.27499999999999997,0.6475,0.5476801821329684,0.6609992980957031,0.08495855331420898
62,analcatdata_germangss.csv,baseline,2,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 60, 'bootstrap': False}",0.225,0.49098360655737705,0.3867486338797815,0.21428571428571427,0.6108333333333333,0.39135789578068986,3.4450018405914307,0.4139704704284668
63,analcatdata_germangss.csv,baseline,3,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",0.175,0.5086065573770492,0.4430327868852459,0.16805555555555557,0.5658333333333333,0.29037510820792556,2.441997528076172,0.24403715133666992
64,analcatdata_germangss.csv,baseline,4,"{'n_estimators': 1400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': True}",0.375,0.5191666666666667,0.32611111111111113,0.3379120879120879,0.68,0.6526910370331422,2.7620065212249756,0.2850031852722168
65,analcatdata_germangss.csv,baseline,5,"{'n_estimators': 1600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': False}",0.35,0.540948275862069,0.33362068965517244,0.40827922077922074,0.7008333333333333,0.689538675929805,2.655073404312134,0.3239920139312744
66,analcatdata_germangss.csv,baseline,6,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",0.3,0.50375,0.3094444444444445,0.28134920634920635,0.6891666666666666,0.5907719313541934,1.055027961730957,0.1319584846496582
